db_id	protein_name
toxin_T6371	tenpIN
toxin_T6372	cptIN
toxin_T6373	Derived
toxin_T6374	cptIN
toxin_T652	vapC
toxin_T655	chpK
toxin_T658	hipA
toxin_T659	parE
toxin_T660	II
toxin_T663	mazF
toxin_T665	relE
toxin_T705	relE
toxin_T727	relE
toxin_T728	yoeB
toxin_T73	Rv0299
toxin_T74	vapC
toxin_T75	vapC
toxin_T76	vapC
toxin_T77	vapC
toxin_T78	vapC
toxin_T79	vapC
toxin_T80	vapC
toxin_T81	vapC
toxin_T82	vapC
toxin_T83	vapC
toxin_T84	mazF
toxin_T843	vapC
toxin_T85	vapC
toxin_T86	vapC
toxin_T87	vapC
toxin_T875	hicA
toxin_T877	vapC
toxin_T88	novel[antitoxin]
toxin_T90	mazF
toxin_T91	vapC
toxin_T911	mazF
toxin_T92	vapC
toxin_T93	relE
toxin_T94	vapC
toxin_T945	vapC
toxin_T947	vapC
toxin_T95	mazF
toxin_T950	vapC
toxin_T951	vapC
toxin_T956	vapC
toxin_T957	vapC
toxin_T962	vapC
toxin_T964	vapC
toxin_T97	vapC
toxin_T970	vapC
toxin_T972	vapC
toxin_T977	vapC
toxin_T978	relE
toxin_T98	vapC
